number,seconds,action,left_pupil,right_pupil1,1,None,None,None
2,1,None,None,None
3,1,Looking center,308:169,384:169
4,1,Looking center,307:169,383:169
5,1,Looking center,308:169,384:169
6,1,Looking center,307:169,384:169
7,1,Looking center,307:169,383:168
8,1,Looking center,307:169,384:169
9,1,Looking center,307:169,384:169
10,1,Looking center,308:170,382:170
11,1,Looking center,308:170,382:170
12,1,Looking center,306:169,385:169
13,1,Looking center,306:169,385:169
14,1,Looking center,306:169,384:168
15,1,Looking center,305:169,385:168
16,1,Looking center,305:169,385:168
17,1,Looking center,306:169,384:168
18,1,Looking center,306:170,384:168
19,1,Looking center,306:170,384:168
20,1,Looking center,306:169,384:168
21,1,Looking center,306:169,384:168
22,1,Looking center,307:169,384:168
23,1,Looking center,307:169,384:168
24,1,Looking center,307:169,384:168
25,1,Looking center,307:169,384:169
26,1,Looking center,307:169,384:169
27,1,Looking center,305:169,384:170
28,1,Looking center,305:169,384:170
29,1,Looking center,305:169,384:170
30,1,Looking center,306:169,384:170
31,1,Looking center,306:169,384:170
32,1,Looking center,307:170,384:170
33,1,Looking center,307:171,385:170
34,1,Looking center,307:171,385:170
35,1,Looking center,307:171,384:171
36,1,Looking center,307:171,384:171
37,1,Looking center,308:172,385:172
38,1,Looking center,308:172,385:172
39,1,Looking center,308:172,385:172
40,1,Looking center,308:173,386:173
41,1,Looking center,308:173,386:172
42,1,Looking center,309:173,386:173
43,1,Looking center,308:173,386:173
44,1,Looking center,308:173,386:173
45,1,Looking center,308:173,386:173
46,1,Looking center,308:173,386:173
47,1,Looking center,308:173,387:173
48,1,Looking center,308:173,387:173
49,1,Looking center,308:173,387:173
50,1,Looking center,309:173,387:173
51,1,Looking center,310:173,387:173
52,1,Looking center,310:173,387:173
53,1,Looking center,310:173,387:173
54,1,Looking center,310:173,387:173
55,1,Looking center,310:173,387:173
56,1,Looking center,310:173,387:173
57,1,Looking center,308:173,387:172
58,1,Looking center,309:174,387:174
59,1,Looking center,309:174,387:174
60,2,Looking center,308:173,386:174
61,2,Looking center,308:173,386:174
62,2,Looking center,308:173,386:174
63,2,Looking center,308:173,386:173
64,2,Looking center,308:173,386:173
65,2,Looking center,308:173,386:173
66,2,Looking center,308:174,386:173
67,2,Looking center,308:174,385:174
68,2,Looking center,308:174,386:174
69,2,Looking center,308:174,386:174
70,2,Looking center,308:173,385:174
71,2,Looking center,308:174,385:174
72,2,Looking center,308:174,386:174
73,2,Looking center,308:173,385:174
74,2,Looking center,308:173,385:174
75,2,Looking center,309:173,386:173
76,2,Looking center,309:172,386:173
77,2,Looking center,311:172,388:172
78,2,Looking center,311:172,388:172
79,2,Looking center,311:172,388:172
80,2,Looking center,311:169,388:170
81,2,Looking center,311:169,388:170
82,2,Looking center,311:169,389:170
83,2,Looking center,312:170,389:170
84,2,Looking center,312:170,389:170
85,2,Looking center,311:169,389:170
86,2,Looking center,311:169,389:170
87,2,Looking center,311:170,389:170
88,2,Looking center,311:169,389:170
89,2,Looking center,311:169,389:170
90,2,Looking center,311:170,388:171
91,2,Looking center,311:170,389:170
92,2,Looking center,311:169,389:170
93,2,Looking center,311:169,389:170
94,2,Looking center,311:169,389:170
95,2,Looking center,311:169,388:170
96,2,Looking center,311:169,388:170
97,2,Looking center,311:170,388:170
98,2,Looking center,311:170,388:170
99,2,Looking center,311:170,388:170
100,2,Looking center,310:171,387:171
101,2,Looking center,310:171,387:171
102,2,Looking center,310:171,387:171
103,2,Looking center,310:171,387:171
104,2,Looking center,310:171,387:171
105,2,Looking center,310:171,387:171
106,2,Looking center,310:171,387:171
107,2,Looking center,310:171,387:171
108,2,Looking center,311:171,387:171
109,2,Looking center,311:171,387:171
110,2,Looking center,310:171,387:171
111,2,Looking center,310:171,387:171
112,2,Looking center,309:171,387:171
113,2,Looking center,309:171,387:171
114,2,Looking center,309:171,387:171
115,2,Looking center,309:171,387:171
116,2,Looking center,309:171,386:171
117,2,Looking center,309:171,387:171
118,2,Looking center,309:171,387:171
119,2,Looking center,309:171,387:171
120,3,Looking center,309:171,387:171
121,3,Looking center,309:171,387:171
122,3,Looking center,310:171,387:171
123,3,Looking center,310:171,387:171
124,3,Looking center,310:171,387:171
125,3,Looking center,310:170,387:170
126,3,Looking center,310:170,387:170
127,3,Looking center,310:170,388:170
128,3,Looking center,310:170,388:169
129,3,Looking center,310:170,388:169
130,3,Looking center,310:169,388:169
131,3,Looking center,310:169,388:169
132,3,Looking center,310:168,388:169
133,3,Looking center,310:169,388:169
134,3,Looking center,310:169,388:169
135,3,Looking center,310:168,388:169
136,3,Looking center,310:168,388:169
137,3,Looking center,310:168,388:169
138,3,Looking center,310:168,388:169
139,3,Looking center,310:168,388:169
140,3,Looking center,311:168,388:168
141,3,Looking center,311:168,388:168
142,3,Looking center,311:168,388:168
143,3,Looking center,311:168,388:168
144,3,Looking center,311:168,388:168
145,3,Looking center,311:168,389:168
146,3,Looking center,311:168,389:169
147,3,Looking center,311:168,389:168
148,3,Looking center,311:168,389:169
149,3,Looking center,311:168,389:169
150,3,Looking center,311:168,389:169
151,3,Looking center,311:168,389:169
152,3,Looking center,311:169,389:168
153,3,Looking center,311:169,389:168
154,3,Looking center,311:169,389:168
155,3,Looking center,311:169,389:169
156,3,Looking center,311:169,389:169
